	N1 	N3 	N5 	N10 	N20 	N40 	N100H 	N100 	N100L 	N150 	N200 	N300C 	N1600 	N1600C 	N100_Z0.5 	N100_Z0.1 	N100_Z0.01 
29Si 	2.69E_04 	4.64E_04 	5.68E_04 	5.17E_04 	9.49E_04 	1.03E_03 	7.73E_04 	1.03E_03 	1.25E_03 	1.30E_03 	2.08E_03 	1.29E_03 	1.97E_03 	2.86E_03 	7.28E_04 	4.30E_04 	1.35E_04 
30Si 	5.96E_04 	1.00E_03 	1.23E_03 	1.18E_03 	2.12E_03 	2.35E_03 	1.72E_03 	2.36E_03 	2.86E_03 	2.77E_03 	4.76E_03 	2.87E_03 	4.53E_03 	6.55E_03 	1.19E_03 	1.44E_04 	1.84E_05 
31P 	1.40E_04 	2.28E_04 	2.87E_04 	2.78E_04 	4.87E_04 	5.60E_04 	4.20E_04 	5.77E_04 	7.09E_04 	6.59E_04 	1.08E_03 	6.85E_04 	1.05E_03 	1.47E_03 	3.58E_04 	1.05E_04 	3.54E_05 
32S 	2.62E_02 	3.70E_02 	4.79E_02 	5.74E_02 	7.74E_02 	1.01E_01 	8.55E_02 	1.11E_01 	1.38E_01 	1.07E_01 	1.10E_01 	1.27E_01 	1.22E_01 	1.03E_01 	1.12E_01 	1.12E_01 	1.15E_01 
33S 	7.51E_05 	1.06E_04 	1.42E_04 	1.53E_04 	2.43E_04 	3.14E_04 	2.37E_04 	3.39E_04 	4.21E_04 	3.27E_04 	5.23E_04 	3.65E_04 	5.47E_04 	6.79E_04 	2.39E_04 	1.04E_04 	4.57E_05 
34S 	8.26E_04 	1.16E_03 	1.57E_03 	1.75E_03 	2.84E_03 	3.73E_03 	2.74E_03 	4.04E_03 	5.02E_03 	3.68E_03 	6.22E_03 	4.22E_03 	6.56E_03 	8.06E_03 	1.86E_03 	2.60E_04 	7.14E_06 
36S 	8.12E_08 	1.35E_07 	1.65E_07 	1.41E_07 	2.54E_07 	2.57E_07 	1.89E_07 	2.47E_07 	3.05E_07 	3.59E_07 	5.42E_07 	3.23E_07 	4.97E_07 	7.68E_07 	3.86E_08 	1.64E_09 	1.73E_11 
35Cl 	4.29E_05 	6.20E_05 	8.27E_05 	8.37E_05 	1.35E_04 	1.67E_04 	1.27E_04 	1.78E_04 	2.27E_04 	1.89E_04 	2.89E_04 	2.00E_04 	2.98E_04 	3.84E_04 	9.91E_05 	2.64E_05 	5.65E_06 
37Cl 	7.32E_06 	9.62E_06 	1.34E_05 	1.53E_05 	2.26E_05 	3.14E_05 	2.44E_05 	3.51E_05 	4.49E_05 	3.14E_05 	4.66E_05 	3.63E_05 	5.22E_05 	5.75E_05 	2.27E_05 	9.14E_06 	3.52E_06 
36Ar 	4.52E_03 	6.36E_03 	8.03E_03 	9.89E_03 	1.28E_02 	1.61E_02 	1.43E_02 	1.77E_02 	2.17E_02 	1.76E_02 	1.50E_02 	2.08E_02 	1.64E_02 	1.23E_02 	1.85E_02 	1.92E_02 	2.04E_02 
38Ar 	3.77E_04 	5.15E_04 	7.18E_04 	8.01E_04 	1.25E_03 	1.72E_03 	1.29E_03 	1.91E_03 	2.48E_03 	1.69E_03 	2.69E_03 	1.96E_03 	2.98E_03 	3.42E_03 	8.31E_04 	1.19E_04 	5.40E_06 
40Ar 	1.68E_09 	2.45E_09 	3.13E_09 	2.90E_09 	4.79E_09 	5.27E_09 	3.81E_09 	5.21E_09 	6.60E_09 	6.64E_09 	1.04E_08 	6.29E_09 	9.87E_09 	1.48E_08 	4.66E_10 	9.87E_12 	5.11E_14 
39K 	2.26E_05 	2.98E_05 	4.12E_05 	4.65E_05 	6.80E_05 	9.52E_05 	7.40E_05 	1.07E_04 	1.39E_04 	9.53E_05 	1.42E_04 	1.10E_04 	1.60E_04 	1.75E_04 	6.25E_05 	1.89E_05 	3.57E_06 
41K 	1.29E_06 	1.65E_06 	2.30E_06 	2.66E_06 	3.80E_06 	5.38E_06 	4.22E_06 	6.08E_06 	7.87E_06 	5.36E_06 	7.81E_06 	6.21E_06 	8.93E_06 	9.65E_06 	3.85E_06 	1.42E_06 	4.92E_07 
40Ca 	4.05E_03 	5.74E_03 	7.09E_03 	8.82E_03 	1.13E_02 	1.35E_02 	1.24E_02 	1.47E_02 	1.75E_02 	1.50E_02 	1.07E_02 	1.78E_02 	1.10E_02 	7.50E_03 	1.57E_02 	1.66E_02 	1.77E_02 
42Ca 	8.32E_06 	1.11E_05 	1.55E_05 	1.74E_05 	2.65E_05 	3.69E_05 	2.80E_05 	4.15E_05 	5.44E_05 	3.63E_05 	5.71E_05 	4.22E_05 	6.44E_05 	7.30E_05 	1.67E_05 	2.08E_06 	8.87E_08 
43Ca 	1.63E_08 	1.93E_08 	2.63E_08 	2.92E_08 	4.29E_08 	5.62E_08 	4.37E_08 	6.12E_08 	7.44E_08 	5.57E_08 	8.61E_08 	6.03E_08 	9.21E_08 	1.14E_07 	2.35E_08 	6.22E_09 	6.23E_09 
44Ca 	3.25E_06 	4.40E_06 	5.24E_06 	6.49E_06 	8.14E_06 	9.14E_06 	8.92E_06 	1.00E_05 	1.11E_05 	1.04E_05 	6.45E_06 	1.19E_05 	6.08E_06 	4.06E_06 	1.08E_05 	1.18E_05 	1.27E_05 
46Ca 	1.58E_11 	1.99E_11 	2.66E_11 	2.64E_11 	4.01E_11 	4.76E_11 	7.13E_10 	4.85E_11 	6.06E_11 	5.50E_11 	8.60E_11 	5.65E_11 	8.43E_11 	1.24E_10 	2.24E_12 	5.88E_13 	5.82E_13 
48Ca 	1.97E_15 	3.88E_15 	7.61E_15 	7.56E_15 	1.86E_14 	5.84E_15 	9.97E_11 	7.85E_15 	3.04E_15 	6.17E_15 	5.21E_15 	8.89E_14 	4.52E_15 	6.99E_15 	5.04E_15 	4.85E_15 	4.82E_15 
45Sc 	5.12E_08 	6.53E_08 	8.56E_08 	1.03E_07 	1.36E_07 	1.83E_07 	1.56E_07 	2.05E_07 	2.51E_07 	1.92E_07 	2.20E_07 	2.20E_07 	2.48E_07 	2.45E_07 	1.43E_07 	7.69E_08 	3.94E_08 
46Ti 	4.33E_06 	5.72E_06 	8.01E_06 	9.13E_06 	1.33E_05 	1.87E_05 	1.46E_05 	2.11E_05 	2.75E_05 	1.86E_05 	2.72E_05 	2.17E_05 	3.11E_05 	3.34E_05 	9.34E_06 	1.37E_06 	2.19E_07 
47Ti 	1.80E_07 	2.28E_07 	3.01E_07 	3.58E_07 	4.84E_07 	6.33E_07 	5.44E_07 	7.05E_07 	8.51E_07 	6.53E_07 	7.66E_07 	7.44E_07 	8.46E_07 	8.59E_07 	3.37E_07 	9.30E_08 	9.90E_08 
48Ti 	1.02E_04 	1.41E_04 	1.67E_04 	2.07E_04 	2.67E_04 	2.85E_04 	2.87E_04 	3.14E_04 	3.36E_04 	3.31E_04 	1.80E_04 	3.78E_04 	1.50E_04 	9.30E_05 	3.43E_04 	3.73E_04 	3.87E_04 
49Ti 	8.06E_06 	1.07E_05 	1.29E_05 	1.61E_05 	2.07E_05 	2.35E_05 	2.35E_05 	2.59E_05 	2.76E_05 	2.69E_05 	1.72E_05 	3.05E_05 	1.62E_05 	1.03E_05 	2.06E_05 	1.27E_05 	6.83E_06 
50Ti 	2.48E_08 	5.52E_08 	1.33E_07 	1.44E_07 	3.43E_07 	1.62E_07 	1.02E_04 	2.60E_07 	6.88E_10 	1.61E_07 	4.58E_08 	1.25E_06 	1.19E_09 	1.72E_09 	2.52E_07 	2.47E_07 	2.46E_07 
50V 	8.95E_10 	1.21E_09 	1.94E_09 	2.34E_09 	3.70E_09 	4.68E_09 	3.20E_08 	5.56E_09 	3.84E_09 	5.07E_09 	6.16E_09 	6.72E_09 	6.11E_09 	7.52E_09 	3.01E_09 	2.30E_09 	2.28E_09 
51V 	3.41E_05 	4.14E_05 	5.01E_05 	6.18E_05 	8.06E_05 	9.51E_05 	1.51E_04 	1.05E_04 	1.01E_04 	1.09E_04 	8.19E_05 	1.20E_04 	8.09E_05 	6.01E_05 	7.65E_05 	3.99E_05 	2.62E_05 
50Cr 	1.01E_04 	1.39E_04 	1.84E_04 	2.27E_04 	3.08E_04 	4.06E_04 	3.95E_04 	4.51E_04 	4.63E_04 	4.47E_04 	4.48E_04 	5.05E_04 	5.08E_04 	4.01E_04 	2.53E_04 	1.11E_04 	8.59E_05 
52Cr 	3.55E_03 	4.06E_03 	4.56E_03 	5.45E_03 	7.23E_03 	7.70E_03 	1.16E_02 	8.57E_03 	8.02E_03 	8.90E_03 	5.62E_03 	9.85E_03 	4.78E_03 	3.94E_03 	8.97E_03 	9.44E_03 	9.64E_03 
53Cr 	5.25E_04 	5.27E_04 	5.91E_04 	7.09E_04 	9.48E_04 	1.12E_03 	1.46E_03 	1.24E_03 	9.98E_04 	1.29E_03 	1.06E_03 	1.36E_03 	1.06E_03 	9.20E_04 	1.02E_03 	7.61E_04 	6.27E_04 
54Cr 	9.85E_07 	2.06E_06 	4.54E_06 	5.18E_06 	1.08E_05 	7.59E_06 	1.25E_03 	2.61E_07 	1.11E_05 	8.55E_06 	4.94E_06 	3.24E_05 	3.17E_06 	4.06E_06 	1.07E_05 	1.05E_05 	1.05E_05 
55Mn 	8.74E_03 	6.93E_03 	6.80E_03 	7.61E_03 	9.70E_03 	1.21E_02 	1.39E_02 	9.29E_03 	1.33E_02 	1.39E_02 	1.31E_02 	1.35E_02 	1.31E_02 	1.13E_02 	1.11E_02 	8.73E_03 	7.84E_03 
54Fe 	3.02E_02 	3.07E_02 	3.84E_02 	4.77E_02 	6.71E_02 	9.00E_02 	9.80E_02 	9.94E_02 	5.70E_02 	1.04E_01 	1.13E_01 	1.03E_01 	1.22E_01 	1.00E_01 	8.19E_02 	6.87E_02 	6.62E_02 
56Fe 	1.11E_00 	1.04E_00 	9.80E_01 	9.46E_01 	7.90E_01 	6.70E_01 	7.47E_01 	6.22E_01 	5.33E_01 	5.84E_01 	4.36E_01 	5.33E_01 	3.90E_01 	3.54E_01 	6.46E_01 	6.66E_01 	6.72E_01 
57Fe 	3.37E_02 	3.05E_02 	2.91E_02 	2.82E_02 	2.31E_02 	2.03E_02 	2.25E_02 	1.88E_02 	1.43E_02 	1.79E_02 	1.53E_02 	1.56E_02 	1.45E_02 	1.26E_02 	1.66E_02 	1.41E_02 	1.28E_02 
58Fe 	7.14E_06 	1.41E_05 	3.21E_05 	3.63E_05 	7.37E_05 	5.33E_05 	5.09E_03 	8.02E_05 	1.27E_07 	6.05E_05 	2.83E_05 	2.13E_04 	7.02E_06 	8.70E_06 	7.85E_05 	7.72E_05 	7.70E_05 
59Co 	4.18E_04 	4.97E_04 	5.62E_04 	5.98E_04 	6.12E_04 	5.59E_04 	9.96E_04 	5.34E_04 	1.48E_04 	5.23E_04 	5.28E_04 	5.03E_04 	6.23E_04 	6.20E_04 	5.09E_04 	4.40E_04 	7.53E_04 
58Ni 	7.26E_02 	6.78E_02 	6.98E_02 	7.13E_02 	6.63E_02 	6.89E_02 	7.54E_02 	6.90E_02 	3.81E_02 	7.01E_02 	7.29E_02 	6.26E_02 	7.48E_02 	6.16E_02 	5.90E_02 	5.09E_02 	5.01E_02 
60Ni 	2.01E_03 	2.63E_03 	3.22E_03 	3.58E_03 	4.31E_03 	4.40E_03 	8.79E_03 	4.54E_03 	7.64E_04 	4.56E_03 	4.67E_03 	4.57E_03 	5.79E_03 	6.75E_03 	4.87E_03 	5.39E_03 	5.36E_03 
61Ni 	8.45E_05 	9.36E_05 	1.02E_04 	1.01E_04 	9.18E_05 	6.57E_05 	1.20E_04 	4.76E_05 	3.09E_05 	3.51E_05 	1.69E_05 	2.56E_05 	1.48E_05 	1.61E_05 	5.04E_05 	4.62E_05 	2.71E_05 
62Ni 	6.55E_04 	7.31E_04 	8.10E_04 	8.06E_04 	7.49E_04 	5.27E_04 	2.85E_03 	4.00E_04 	2.46E_04 	2.94E_04 	1.31E_04 	3.01E_04 	9.83E_05 	1.05E_04 	3.01E_04 	1.54E_04 	1.25E_04 
64Ni 	4.24E_09 	8.11E_09 	1.94E_08 	2.15E_08 	4.72E_08 	2.40E_08 	9.61E_06 	3.83E_08 	5.26E_14 	2.44E_08 	5.97E_09 	1.63E_07 	1.78E_11 	2.55E_11 	3.72E_08 	3.65E_08 	3.63E_08 
63Cu 	4.44E_07 	4.94E_07 	5.59E_07 	5.71E_07 	5.62E_07 	4.43E_07 	2.32E_06 	3.78E_07 	1.72E_07 	3.20E_07 	2.10E_07 	3.23E_07 	1.91E_07 	2.29E_07 	3.17E_07 	3.27E_06 	1.29E_05 
64Zn 	1.72E_06 	1.83E_06 	2.09E_06 	2.11E_06 	2.09E_06 	1.71E_06 	1.94E_06 	1.32E_06 	9.19E_07 	1.06E_06 	5.45E_07 	6.42E_07 	5.66E_07 	6.38E_07 	2.22E_06 	1.73E_05 	2.64E_05 
66Zn 	2.55E_06 	2.70E_06 	3.11E_06 	3.13E_06 	3.04E_06 	2.41E_06 	2.74E_06 	1.79E_06 	1.44E_06 	1.39E_06 	5.97E_07 	7.64E_07 	5.74E_07 	6.45E_07 	1.43E_06 	6.29E_07 	4.37E_07 
67Zn 	1.48E_09 	1.53E_09 	1.77E_09 	1.79E_09 	1.75E_09 	1.42E_09 	2.26E_09 	1.09E_09 	8.79E_10 	8.61E_10 	3.91E_10 	4.91E_10 	3.76E_10 	4.24E_10 	7.08E_10 	2.47E_10 	1.73E_10 
68Zn 	9.01E_10 	9.38E_10 	1.10E_09 	1.12E_09 	1.13E_09 	8.87E_10 	1.07E_08 	7.24E_10 	5.26E_10 	5.68E_10 	2.58E_10 	5.91E_10 	2.29E_10 	2.53E_10 	3.70E_10 	1.71E_10 	1.51E_10 
70Zn 	3.39E_16 	6.43E_16 	1.52E_15 	1.63E_15 	3.67E_15 	1.36E_15 	2.23E_12 	2.23E_15 	5.97E_24 	1.25E_15 	1.76E_16 	1.48E_14 	7.40E_22 	1.25E_21 	2.16E_15 	2.10E_15 	2.09E_15 
69Ga 	5.66E_14 	8.72E_14 	1.77E_13 	2.00E_13 	3.30E_13 	2.72E_13 	1.04E_11 	3.93E_13 	6.71E_15 	3.27E_13 	1.39E_13 	8.44E_13 	9.10E_15 	1.15E_14 	3.81E_13 	3.73E_13 	3.72E_13 
71Ga 	2.06E_15 	2.25E_15 	3.31E_15 	3.49E_15 	4.73E_15 	3.43E_15 	3.47E_13 	4.03E_15 	1.22E_15 	3.15E_15 	1.24E_15 	9.47E_15 	6.14E_16 	7.02E_16 	3.06E_15 	2.69E_15 	2.66E_15 
